Test Case Id,1,2,3
155,2012,2,1
156,2012,2,2
157,2012,2,0
158,2012,2,31
159,2012,2,30
160,2012,2,32
161,2012,2,16
162,2012,0,1
163,2012,0,2
164,2012,0,0
165,2012,0,31
166,2012,0,30
167,2012,0,32
168,2012,0,16
169,2012,12,1
170,2012,12,2
171,2012,12,0
172,2012,12,31
173,2012,12,30
174,2012,12,32
175,2012,12,16
176,2012,11,1
177,2012,11,2
178,2012,11,0
179,2012,11,31
180,2012,11,30
181,2012,11,32
182,2012,11,16
183,2012,13,1
184,2012,13,2
185,2012,13,0
186,2012,13,31
187,2012,13,30
188,2012,13,32
189,2012,13,16
190,2012,6,1
191,2012,6,2
192,2012,6,0
193,2012,6,31
194,2012,6,30
195,2012,6,32
196,2012,6,16
197,2011,1,1
198,2011,1,2
199,2011,1,0
200,2011,1,31
201,2011,1,30
202,2011,1,32
203,2011,1,16
204,2011,2,1
205,2011,2,2
206,2011,2,0
207,2011,2,31
208,2011,2,30
209,2011,2,32
210,2011,2,16
211,2011,0,1
212,2011,0,2
213,2011,0,0
214,2011,0,31
215,2011,0,30
216,2011,0,32
217,2011,0,16
218,2011,12,1
219,2011,12,2
220,2011,12,0
221,2011,12,31
222,2011,12,30
223,2011,12,32
224,2011,12,16
225,2011,11,1
226,2011,11,2
227,2011,11,0
228,2011,11,31
229,2011,11,30
230,2011,11,32
231,2011,11,16
232,2011,13,1
233,2011,13,2
234,2011,13,0
235,2011,13,31
236,2011,13,30
237,2011,13,32
238,2011,13,16
239,2011,6,1
240,2011,6,2
241,2011,6,0
242,2011,6,31
243,2011,6,30
244,2011,6,32
245,2011,6,16
246,2013,1,1
247,2013,1,2
248,2013,1,0
249,2013,1,31
250,2013,1,30
251,2013,1,32
252,2013,1,16
253,2013,2,1
254,2013,2,2
255,2013,2,0
256,2013,2,31
257,2013,2,30
258,2013,2,32
259,2013,2,16
260,2013,0,1
261,2013,0,2
262,2013,0,0
263,2013,0,31
264,2013,0,30
265,2013,0,32
266,2013,0,16
267,2013,12,1
268,2013,12,2
269,2013,12,0
270,2013,12,31
271,2013,12,30
272,2013,12,32
273,2013,12,16
274,2013,11,1
275,2013,11,2
276,2013,11,0
277,2013,11,31
278,2013,11,30
279,2013,11,32
280,2013,11,16
281,2013,13,1
282,2013,13,2
283,2013,13,0
284,2013,13,31
285,2013,13,30
286,2013,13,32
287,2013,13,16
288,2013,6,1
289,2013,6,2
290,2013,6,0
291,2013,6,31
292,2013,6,30
293,2013,6,32
294,2013,6,16
295,1912,1,1
296,1912,1,2
297,1912,1,0
298,1912,1,31
299,1912,1,30
300,1912,1,32
301,1912,1,16
302,1912,2,1
303,1912,2,2
304,1912,2,0
305,1912,2,31
306,1912,2,30
307,1912,2,32
308,1912,2,16
309,1912,0,1
310,1912,0,2
311,1912,0,0
312,1912,0,31
313,1912,0,30
314,1912,0,32
315,1912,0,16
316,1912,12,1
317,1912,12,2
318,1912,12,0
319,1912,12,31
320,1912,12,30
321,1912,12,32
322,1912,12,16
323,1912,11,1
324,1912,11,2
325,1912,11,0
326,1912,11,31
327,1912,11,30
328,1912,11,32
329,1912,11,16
330,1912,13,1
331,1912,13,2
332,1912,13,0
333,1912,13,31
334,1912,13,30
335,1912,13,32
336,1912,13,16
337,1912,6,1
338,1912,6,2
339,1912,6,0
340,1912,6,31
341,1912,6,30
342,1912,6,32
343,1912,6,16
